Date,Open,High,Low,Close*,Adj Close**,Volume
"Sep 09, 2020",356.60,369.00,341.51,366.28,366.28,78582200
"Sep 08, 2020",356.00,368.74,329.88,330.21,330.21,115465700
"Sep 04, 2020",402.81,428.00,372.02,418.32,418.32,110321900
"Sep 03, 2020",407.23,431.80,402.00,407.00,407.00,87596100
"Sep 02, 2020",478.99,479.04,405.12,447.37,447.37,96176100
"Sep 01, 2020",502.14,502.49,470.51,475.05,475.05,90119400
"Aug 31, 2020",444.61,500.14,440.11,498.32,498.32,118374400
"Aug 31, 2020",5:1 Stock Split,5:1 Stock Split,5:1 Stock Split,5:1 Stock Split,5:1 Stock Split,5:1 Stock Split
"Aug 28, 2020",459.02,463.70,437.30,442.68,442.68,100406000
"Aug 27, 2020",436.09,459.12,428.50,447.75,447.75,118465000
"Aug 26, 2020",412.00,433.20,410.73,430.63,430.63,71197000
"Aug 25, 2020",394.98,405.59,393.60,404.67,404.67,53294500
"Aug 24, 2020",425.26,425.80,385.50,402.84,402.84,100318000
"Aug 21, 2020",408.95,419.10,405.01,410.00,410.00,107448000
"Aug 20, 2020",372.14,404.40,371.41,400.37,400.37,103059000
"Aug 19, 2020",373.00,382.20,368.24,375.71,375.71,61026500
"Aug 18, 2020",379.80,384.78,369.02,377.42,377.42,82372500
"Aug 17, 2020",335.40,369.17,334.57,367.13,367.13,101211500
"Aug 14, 2020",333.00,333.76,325.33,330.14,330.14,62888000
"Aug 13, 2020",322.20,330.24,313.45,324.20,324.20,102126500
"Aug 12, 2020",294.00,317.00,287.00,310.95,310.95,109494000
"Aug 11, 2020",279.20,284.00,273.00,274.88,274.88,43129000
"Aug 10, 2020",289.60,291.50,277.17,283.71,283.71,37611500
"Aug 07, 2020",299.91,299.95,283.00,290.54,290.54,44482000
"Aug 06, 2020",298.17,303.46,295.45,297.92,297.92,29961500
"Aug 05, 2020",298.60,299.97,293.66,297.00,297.00,24890000
"Aug 04, 2020",299.00,305.48,292.40,297.40,297.40,42075000
"Aug 03, 2020",289.84,301.96,288.88,297.00,297.00,44046500
"Jul 31, 2020",303.00,303.41,284.20,286.15,286.15,61235000
"Jul 30, 2020",297.60,302.65,294.20,297.50,297.50,38105000
"Jul 29, 2020",300.20,306.96,297.40,299.82,299.82,47134500
"Jul 28, 2020",300.80,312.94,294.88,295.30,295.30,79043500
"Jul 27, 2020",287.00,309.59,282.60,307.92,307.92,80243500
"Jul 24, 2020",283.20,293.00,273.31,283.40,283.40,96983000
"Jul 23, 2020",335.79,337.80,296.15,302.61,302.61,121642500
"Jul 22, 2020",319.80,325.28,312.40,318.47,318.47,70805500
"Jul 21, 2020",327.99,335.00,311.60,313.67,313.67,80786500
"Jul 20, 2020",303.80,330.00,297.60,328.60,328.60,85607000
